date,date_placed,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev
27/03/2025 21:00,2025-03-27 14:24:20.193074,LEO,Leyton Orient FC,Stevenage,0.51,0.24,0.23,2.2,3.15,3.25,home,28.72727272727273,2.01,0.1220000000000001
27/03/2025 21:00,2025-03-27 14:24:25.439407,LL,Barcelona,Osasuna,0.71,0.15,0.12,1.24,7.25,11.5,away,4.347826086956521,2.84,0.38
28/03/2025 20:30,2025-03-27 14:24:30.691240,BUN,Leverkusen,Bochum,0.72,0.15,0.11,1.24,6.5,11.0,away,2.9090909090909087,2.29,0.21
28/03/2025 20:45,2025-03-27 14:24:35.942060,LET,Colchester,Grimsby Town,0.5,0.24,0.24,2.1,3.15,3.65,home,26.190476190476193,1.78,0.05
28/03/2025 20:45,2025-03-27 14:24:41.171739,LET,Tranmere,Cheltenham,0.29,0.24,0.45,1.98,3.4,3.65,away,29.93150684931507,3.69,0.6424999999999998
28/03/2025 21:00,2025-03-27 14:24:46.413427,CHA,Sheffield United,Coventry,0.53,0.23,0.22,2.06,3.45,3.65,home,30.18446601941748,1.91,0.0918000000000001
29/03/2025 13:30,2025-03-27 14:24:51.621093,LET,Accrington,Bradford,0.27,0.24,0.48,3.75,3.15,2.0,home,7.533333333333339,1.66,0.0125
29/03/2025 13:30,2025-03-27 14:24:56.843048,LET,Crewe,Port Vale,0.4,0.26,0.32,2.6,3.15,2.7,home,16.923076923076923,1.74,0.0400000000000001
29/03/2025 13:30,2025-03-27 14:25:02.156369,CHA,Hull,Luton,0.5,0.24,0.24,2.16,3.35,3.5,home,26.851851851851855,1.87,0.08
29/03/2025 13:30,2025-03-27 14:25:08.276634,CHA,Watford,Plymouth,0.54,0.23,0.21,1.68,3.8,5.25,away,5.952380952380952,1.95,0.1024999999999999
29/03/2025 14:00,2025-03-27 14:25:13.495648,LL,Real Sociedad,Valladolid,0.68,0.18,0.12,1.35,4.75,10.0,away,3.1999999999999993,2.26,0.2
29/03/2025 15:00,2025-03-27 14:25:18.743838,SEA,Venezia,Bologna,0.23,0.26,0.5,4.75,3.55,1.81,home,6.789473684210527,1.91,0.0925
29/03/2025 15:30,2025-03-27 14:25:23.984842,BUN,Bayern München,St. Pauli,0.78,0.13,0.08,1.16,7.75,16.0,away,2.25,2.52,0.2799999999999999
29/03/2025 15:30,2025-03-27 14:25:29.213045,BUN,Wolfsburg,Heidenheim,0.55,0.22,0.21,1.67,4.0,5.0,away,5.2,1.78,0.0499999999999999
29/03/2025 16:00,2025-03-27 14:25:34.491174,LET,Barrow,Chesterfield,0.36,0.26,0.37,2.45,3.25,2.75,away,14.090909090909092,1.67,0.0174999999999999
29/03/2025 16:00,2025-03-27 14:25:39.731068,LET,Bromley,Salford,0.46,0.26,0.27,2.35,3.25,2.8,home,23.021276595744684,1.88,0.081
29/03/2025 16:00,2025-03-27 14:25:44.939240,LET,Harrogate,Gillingham,0.45,0.26,0.27,2.75,2.9,2.6,home,25.0,2.38,0.2374999999999999
29/03/2025 16:00,2025-03-27 14:25:50.182074,LET,Milton Keynes Dons,Fleetwood,0.35,0.26,0.38,2.35,3.25,2.8,away,15.857142857142852,1.82,0.0639999999999999
29/03/2025 16:00,2025-03-27 14:25:55.426651,LEO,Bristol Rovers,Mansfield Town,0.46,0.26,0.27,3.15,3.4,2.15,home,28.857142857142858,3.07,0.4489999999999999
29/03/2025 16:00,2025-03-27 14:26:00.782810,LEO,Exeter,Wrexham,0.33,0.25,0.41,3.75,3.4,1.95,home,15.133333333333338,2.38,0.2375000000000001
29/03/2025 16:00,2025-03-27 14:26:05.997731,CHA,Burnley,Bristol City,0.58,0.21,0.19,1.75,3.55,5.0,home,33.99999999999999,1.66,0.0149999999999999
29/03/2025 16:00,2025-03-27 14:26:11.308105,CHA,Leeds,Swansea,0.71,0.16,0.12,1.24,6.0,12.5,away,4.96,3.23,0.4999999999999999
29/03/2025 16:00,2025-03-27 14:26:16.582974,CHA,Middlesbrough,Oxford,0.58,0.21,0.19,1.54,4.25,6.0,away,5.500000000000002,2.07,0.1399999999999999
29/03/2025 16:00,2025-03-27 14:26:21.827873,CHA,Norwich,West Bromwich,0.39,0.26,0.34,2.28,3.35,3.2,away,13.375000000000004,1.9,0.0880000000000001
29/03/2025 16:15,2025-03-27 14:26:27.068956,LL,Espanyol,Atlético,0.18,0.24,0.57,6.0,3.85,1.6,home,4.333333333333334,1.87,0.0799999999999998
29/03/2025 17:00,2025-03-27 14:26:32.302343,LI1,Reims,Marseille,0.2,0.23,0.56,5.25,4.25,1.61,home,4.761904761904762,1.78,0.05
29/03/2025 18:00,2025-03-27 14:26:37.551923,SEA,Juventus,Genoa,0.6,0.22,0.17,1.55,3.95,6.5,away,4.230769230769231,1.95,0.1050000000000001
29/03/2025 20:45,2025-03-27 14:26:42.807859,SEA,Lecce,AS Roma,0.24,0.26,0.49,4.5,3.5,1.86,home,7.1111111111111125,1.87,0.0799999999999999
29/03/2025 21:00,2025-03-27 14:30:28.417297,LL,Real Madrid,Leganes,0.76,0.13,0.09,1.16,8.25,16.0,away,3.3124999999999996,0.97,0.4399999999999998
30/03/2025 12:30,2025-03-27 14:30:33.677402,SEA,Cagliari,Monza,0.55,0.24,0.2,1.7,3.65,5.25,away,4.761904761904762,0.57,0.05
30/03/2025 15:00,2025-03-27 14:30:38.908903,SEA,Fiorentina,Atalanta,0.28,0.25,0.45,3.6,3.5,2.05,home,8.000000000000007,0.53,0.0080000000000001
30/03/2025 16:15,2025-03-27 14:30:44.158128,LL,Barcelona,Girona,0.71,0.16,0.12,1.28,6.25,9.0,away,2.222222222222223,0.6,0.0799999999999999
30/03/2025 17:15,2025-03-27 14:30:49.393524,LI1,Angers,Rennes,0.25,0.25,0.49,4.25,3.6,1.88,home,7.352941176470589,0.58,0.0625
30/03/2025 17:30,2025-03-27 14:30:54.649505,BUN,Dortmund,FSV Mainz,0.54,0.22,0.23,1.7,4.0,4.75,away,6.789473684210527,0.61,0.0925
30/03/2025 18:00,2025-03-27 14:30:59.872218,SEA,Inter Milan,Udinese,0.64,0.19,0.15,1.41,4.75,7.5,away,3.6666666666666665,0.65,0.125
30/03/2025 18:30,2025-03-27 14:31:05.247853,LL,Athletic Bilbao,Osasuna,0.6,0.21,0.17,1.52,4.25,6.5,away,4.230769230769231,0.63,0.1050000000000001
