date,date_placed,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev
12/04/2025 13:30,2025-04-12 09:52:27.144006,LET,Doncaster,Wimbledon,0.46,0.26,0.26,1.91,3.4,3.85,away,6.779220779220782,1.4,0.0010000000000001
12/04/2025 13:30,2025-04-12 09:52:32.411953,LET,Swindon,Bradford,0.34,0.25,0.39,3.15,3.25,2.2,home,13.04761904761905,1.59,0.071
12/04/2025 13:30,2025-04-12 09:52:37.681300,LEO,Wigan,Wrexham,0.33,0.25,0.41,3.85,3.15,2.0,home,15.597402597402604,2.15,0.2705000000000002
12/04/2025 13:30,2025-04-12 09:52:42.946495,LEO,Wycombe,Stevenage,0.61,0.2,0.18,1.53,3.65,6.5,away,5.384615384615383,1.87,0.1699999999999999
12/04/2025 13:30,2025-04-12 09:52:48.190312,CHA,Leeds,Preston,0.66,0.18,0.15,1.25,6.0,12.5,away,8.2,3.83,0.8749999999999999
12/04/2025 13:30,2025-04-12 09:52:54.333200,CHA,Plymouth,Sheffield United,0.23,0.22,0.53,6.0,4.25,1.54,home,10.166666666666668,2.45,0.3800000000000001
12/04/2025 13:30,2025-04-12 09:52:59.612047,EPL,Manchester City,Crystal Palace,0.58,0.2,0.21,1.59,4.75,5.5,away,6.636363636363636,1.82,0.1549999999999999
12/04/2025 15:00,2025-04-12 09:53:04.978191,SEA,Venezia,Monza,0.53,0.24,0.22,1.75,3.7,4.75,away,5.57894736842105,1.52,0.0449999999999999
12/04/2025 15:30,2025-04-12 09:53:10.295354,BUN,Leverkusen,Union Berlin,0.67,0.18,0.13,1.38,5.25,8.5,away,2.764705882352941,1.69,0.1050000000000001
12/04/2025 15:30,2025-04-12 09:53:15.541843,BUN,Bochum,Augsburg,0.39,0.27,0.32,2.21,3.35,3.3,away,11.393939393939398,1.55,0.056
12/04/2025 16:00,2025-04-12 09:53:20.808159,LET,Accrington,Tranmere,0.46,0.26,0.26,2.7,3.0,2.6,home,26.000000000000007,2.07,0.2420000000000001
12/04/2025 16:00,2025-04-12 09:53:26.054910,LET,Chesterfield,Fleetwood,0.4,0.26,0.33,2.1,3.4,3.25,away,12.384615384615389,1.59,0.0725000000000001
12/04/2025 16:00,2025-04-12 09:53:31.324197,LET,Harrogate,Grimsby Town,0.39,0.26,0.33,3.75,3.25,1.98,home,22.733333333333334,2.68,0.4625
12/04/2025 16:00,2025-04-12 09:53:36.592003,LEO,Barnsley,Bolton,0.34,0.25,0.4,3.4,3.65,1.98,home,14.588235294117654,1.83,0.1560000000000001
12/04/2025 16:00,2025-04-12 09:53:41.840776,LEO,Bristol Rovers,Exeter,0.35,0.26,0.38,2.2,3.15,3.15,away,18.31746031746032,1.94,0.1969999999999999
12/04/2025 16:00,2025-04-12 09:53:47.091326,LEO,Cambridge United,Charlton,0.25,0.23,0.51,4.25,3.65,1.73,home,7.352941176470589,1.57,0.0625
12/04/2025 16:00,2025-04-12 09:53:52.369738,LEO,Crawley,Leyton Orient FC,0.27,0.24,0.48,3.0,3.4,2.15,away,23.813953488372093,1.48,0.0319999999999999
12/04/2025 16:00,2025-04-12 09:53:57.649842,CHA,Luton,Blackburn,0.43,0.26,0.29,1.89,3.45,4.25,away,12.294117647058822,2.04,0.2324999999999999
