date,date_placed,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev
08/04/2025 20:45,2025-04-08 11:54:16.669338,LEO,Exeter,Wigan,0.42,0.26,0.3,2.7,2.9,2.7,home,20.51851851851852,3.6,0.134
08/04/2025 20:45,2025-04-08 11:54:22.817250,LEO,Huddersfield,Wycombe,0.38,0.26,0.35,2.9,3.15,2.35,home,16.62068965517241,3.41,0.1019999999999999
08/04/2025 20:45,2025-04-08 11:54:28.116425,LEO,Mansfield Town,Leyton Orient FC,0.32,0.25,0.41,2.4,3.25,2.8,away,19.928571428571423,3.68,0.1479999999999998
08/04/2025 20:45,2025-04-08 11:54:33.410879,LEO,Shrewsbury,Reading,0.23,0.22,0.53,3.4,3.25,2.05,away,30.07317073170732,3.33,0.0864999999999999
08/04/2025 20:45,2025-04-08 11:54:38.667955,CHA,Bristol City,West Bromwich,0.44,0.26,0.28,2.45,3.35,2.95,home,21.142857142857142,3.28,0.078
08/04/2025 20:45,2025-04-08 11:54:44.001858,CHA,Preston,Cardiff,0.52,0.24,0.23,2.6,3.3,2.75,home,33.53846153846154,4.83,0.3520000000000001
08/04/2025 20:45,2025-04-08 11:54:50.126719,CHA,Sheffield United,Millwall,0.61,0.2,0.18,1.63,3.8,5.75,away,3.7391304347826058,3.03,0.0349999999999999
08/04/2025 20:45,2025-04-08 11:55:12.028878,CHA,Stoke,Luton,0.45,0.26,0.27,2.46,3.2,3.0,home,22.642276422764223,3.44,0.1069999999999999
08/04/2025 20:45,2025-04-08 11:55:17.292087,CHA,Derby,Burnley,0.21,0.21,0.56,4.75,3.2,1.9,away,32.8421052631579,3.2,0.064
09/04/2025 20:45,2025-04-08 11:55:22.543109,CHA,Oxford,Queens Park Rangers,0.43,0.26,0.29,2.6,3.2,2.8,home,21.07692307692308,3.51,0.118
09/04/2025 20:45,2025-04-08 11:55:27.855070,CHA,Swansea,Plymouth,0.52,0.24,0.23,1.66,3.9,5.25,away,8.333333333333332,4.01,0.2075
09/04/2025 21:00,2025-04-08 11:55:33.129043,CHA,Coventry,Portsmouth,0.54,0.23,0.21,1.66,4.0,5.0,away,5.2,3.12,0.0499999999999999
10/04/2025 21:00,2025-04-08 11:55:38.385010,LET,Crewe,Cheltenham,0.49,0.25,0.25,1.73,3.5,4.5,away,8.333333333333332,3.55,0.125
10/04/2025 21:00,2025-04-08 11:55:43.594711,UEL,Rangers,Athletic Bilbao,0.24,0.22,0.52,3.25,3.5,2.2,away,30.181818181818187,3.65,0.1440000000000001
10/04/2025 21:00,2025-04-08 11:55:49.088183,UEL,Lyon,Manchester United,0.41,0.26,0.31,2.55,3.4,2.75,home,17.86274509803921,3.09,0.0454999999999997
11/04/2025 20:45,2025-04-08 11:55:54.319733,SEA,Udinese,AC Milan,0.27,0.26,0.46,3.75,3.6,1.99,home,7.533333333333339,2.91,0.0125
11/04/2025 20:45,2025-04-08 11:55:59.577586,LI1,Lens,Reims,0.55,0.23,0.2,1.62,4.0,5.25,away,4.761904761904762,3.12,0.05
11/04/2025 21:00,2025-04-08 11:56:04.837810,CHA,Burnley,Norwich,0.64,0.19,0.16,1.69,3.85,5.0,home,42.69822485207101,3.3,0.0816
