date,date_placed,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev
23/03/2025 15:00,2025-03-23 12:44:35.732199,NAT,Georgië,Armenië,0.68,0.17,0.14,1.52,4.25,6.25,home,46.94736842105264,3.0,0.0336
23/03/2025 18:00,2025-03-23 12:44:40.979040,NAT,IJsland,Kosovo,0.51,0.24,0.23,2.51,3.35,2.85,home,31.478087649402394,4.38,0.2800999999999999
23/03/2025 18:00,2025-03-23 12:44:46.212226,NAT,Slovenie,Slowakije,0.46,0.26,0.26,2.65,2.95,3.0,home,25.62264150943396,4.04,0.2189999999999999
23/03/2025 18:00,2025-03-23 12:44:51.440950,NAT,Servië,Oostenrijk,0.36,0.26,0.37,2.9,3.25,2.52,home,13.931034482758625,3.05,0.0439999999999999
23/03/2025 18:00,2025-03-23 12:44:56.799969,NAT,Schotland,Griekenland,0.39,0.26,0.33,2.75,3.2,2.7,home,16.818181818181817,3.21,0.0725
23/03/2025 20:45,2025-03-23 12:44:56.799969,NAT,Spanje,Nederland,0.62,0.19,0.17,1.71,4.0,5.0,home,39.77777777777778,3.15,0.060199999999999976
25/03/2025 20:30,2025-03-23 12:44:56.799969,LET,Port Vale,Barrow,0.58,0.21,0.2,1.98,3.15,3.85,home,36.78787878787878,3.64,0.14839999999999987
