date,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev,home_goals_ft,away_goals_ft,outcome,return
2025-03-15 15:30:00,BUN,Bremen,Borussia Mönchengladbach,0.4,0.24,0.34,2.21,3.7,3.05,away,12.36065573770492,2.05,0.037,2.0,4.0,away,6.2524999999999995
2025-03-15 15:30:00,BUN,Augsburg,Wolfsburg,0.36,0.28,0.35,2.46,3.2,3.0,away,13.333333333333329,2.21,0.0499999999999999,1.0,0.0,home,-2.21
2025-03-15 15:30:00,BUN,FSV Mainz,Freiburg,0.49,0.25,0.24,1.91,3.45,4.25,away,6.11764705882353,1.01,0.02,2.0,2.0,draw,-1.01
2025-03-15 15:30:00,BUN,Union Berlin,Bayern München,0.13,0.18,0.67,8.75,5.75,1.35,home,3.0571428571428565,0.51,0.1375,1.0,1.0,draw,-0.51
2025-03-15 16:00:00,LET,Accrington,Gillingham,0.47,0.25,0.26,2.4,2.9,3.15,home,24.91666666666666,4.13,0.1279999999999999,1.0,1.0,draw,-4.13
2025-03-15 16:00:00,LET,Bradford,Tranmere,0.71,0.16,0.12,1.57,3.65,5.75,home,52.52866242038217,8.71,0.1146999999999999,0.0,1.0,away,-8.71
2025-03-15 16:00:00,LET,Carlisle,Wimbledon,0.28,0.24,0.47,3.15,3.0,2.35,away,24.4468085106383,4.05,0.1044999999999999,1.0,2.0,away,9.5175
2025-03-15 16:00:00,LET,Grimsby Town,Salford,0.45,0.26,0.27,1.83,3.5,4.0,away,8.750000000000002,1.45,0.08,0.0,1.0,away,5.8
2025-03-15 16:00:00,LEO,Blackpool,Leyton Orient FC,0.49,0.25,0.24,2.05,3.4,3.4,home,24.12195121951219,4.0,0.0044999999999999,1.0,2.0,away,-4.0
2025-03-15 16:00:00,LEO,Charlton,Wigan,0.53,0.23,0.22,1.56,3.65,6.0,away,9.000000000000002,1.49,0.32,2.0,1.0,home,-1.49
2025-03-15 16:00:00,LEO,Lincoln,Bristol Rovers,0.57,0.21,0.2,1.51,4.0,5.75,away,6.086956521739132,1.01,0.15,5.0,0.0,home,-1.01
2025-03-15 16:00:00,LEO,Mansfield Town,Barnsley,0.33,0.25,0.4,2.4,3.4,2.7,away,17.777777777777782,2.95,0.0800000000000001,2.0,1.0,home,-2.95
2025-03-15 16:00:00,CHA,Blackburn,Cardiff,0.52,0.24,0.23,2.08,3.25,3.8,home,28.92307692307693,4.8,0.0816000000000001,1.0,2.0,away,-4.8
2025-03-15 16:00:00,CHA,Coventry,Sunderland,0.45,0.26,0.27,2.55,3.3,2.8,home,23.431372549019606,3.89,0.1474999999999998,3.0,0.0,home,9.9195
2025-03-15 16:00:00,CHA,Luton,Middlesbrough,0.31,0.25,0.42,2.7,3.45,2.55,away,19.25490196078431,3.19,0.0709999999999998,0.0,0.0,draw,-3.19
2025-03-15 16:00:00,CHA,Oxford,Watford,0.36,0.26,0.36,3.1,3.1,2.45,home,15.354838709677416,2.55,0.1159999999999999,1.0,0.0,home,7.904999999999999
2025-03-15 16:00:00,CHA,Plymouth,Derby,0.46,0.26,0.26,2.95,2.95,2.65,home,27.69491525423729,4.59,0.3570000000000001,2.0,3.0,away,-4.59
2025-03-15 16:00:00,EPL,Manchester City,Brighton,0.54,0.21,0.23,1.75,4.25,4.5,away,5.888888888888891,0.98,0.035,,,nan,
2025-03-15 17:00:00,LI1,Nantes,Lille,0.28,0.27,0.43,3.7,3.35,2.07,home,8.540540540540547,1.42,0.0360000000000001,1.0,0.0,home,5.254
2025-03-15 18:00:00,SEA,AC Milan,Como,0.52,0.24,0.23,1.79,4.0,4.5,away,5.888888888888891,0.98,0.035,2.0,1.0,home,-0.98
2025-03-15 19:00:00,LI1,Angers,Monaco,0.16,0.2,0.63,6.75,5.0,1.42,home,3.555555555555557,0.59,0.08,0.0,2.0,away,-0.59
2025-03-15 21:05:00,LI1,Lens,Rennes,0.43,0.27,0.29,2.19,3.3,3.45,away,8.420289855072463,1.4,0.0005,1.0,0.0,home,-1.4
2025-03-16 12:30:00,SEA,Venezia,Napoli,0.17,0.23,0.59,6.5,4.25,1.53,home,4.230769230769231,0.7,0.1050000000000001,0.0,0.0,draw,-0.7
2025-03-16 14:30:00,EPL,Fulham,Tottenham,0.46,0.24,0.29,2.01,3.85,3.45,away,8.420289855072463,1.4,0.0005,2.0,0.0,home,-1.4
2025-03-16 15:00:00,LI1,Lyon,Le Havre,0.65,0.18,0.16,1.38,5.25,7.5,away,4.8,0.8,0.2,4.0,2.0,home,-0.8
2025-03-16 16:00:00,SEA,AS Roma,Cagliari,0.6,0.21,0.17,1.51,4.25,6.5,away,4.230769230769231,0.7,0.1050000000000001,1.0,0.0,home,-0.7
2025-03-16 19:30:00,BUN,Stuttgart,Leverkusen,0.34,0.25,0.4,2.95,3.55,2.32,home,11.627118644067805,1.93,0.0030000000000002,3.0,4.0,away,-1.93
2025-03-20 18:00:00,NAT,Armenië,Georgië,0.23,0.22,0.53,3.75,3.35,2.06,away,30.18446601941748,1.76,0.0918000000000001,0.0,3.0,away,3.6256
2025-03-20 20:45:00,NAT,Kroatië,Frankrijk,0.22,0.22,0.55,3.8,3.45,2.11,away,33.672985781990526,3.44,0.1604999999999999,2.0,0.0,home,-3.44
2025-03-20 20:45:00,NAT,Denemarken,Portugal,0.26,0.23,0.49,3.45,3.4,2.26,away,26.43362831858407,1.81,0.1073999999999998,1.0,0.0,home,-1.81
2025-03-20 20:45:00,NAT,Italië,Duitsland,0.26,0.23,0.49,2.85,3.25,2.7,away,30.111111111111104,6.19,0.323,1.0,2.0,away,16.713
2025-03-20 18:00:00,NAT,Turkije,Hongarije,0.5,0.24,0.26,1.8,3.55,4.75,away,8.0,0.800793,0.14,3.0,1.0,home,-0.800793
2025-03-20 20:45:00,NAT,Nederland,Spanje,0.29,0.24,0.47,3.25,3.35,2.35,away,23.021277,1.333266,0.081,2.0,2.0,draw,-1.333266
2025-03-20 20:45:00,NAT,Oekraïne,België,0.32,0.25,0.43,4.75,3.55,1.79,home,17.684211,6.574932,0.52,3.0,1.0,home,31.230927
2025-03-22 16:00:00,LET,Wimbledon,Barrow,0.58,0.21,0.2,2.05,3.15,3.75,home,37.512195121951216,4.04,0.1889999999999998,2.0,2.0,draw,-4.04
2025-03-22 16:00:00,LET,Bradford,Colchester,0.52,0.24,0.23,2.1,3.0,3.65,home,29.14285714285715,1.53,0.092,4.0,1.0,home,3.213
2025-03-22 16:00:00,LET,Carlisle,Bromley,0.33,0.25,0.4,2.25,3.25,3.0,away,20.000000000000007,2.28,0.2,2.0,1.0,home,-2.28
2025-03-22 16:00:00,LET,Cheltenham,MK Dons,0.52,0.24,0.23,2.25,3.25,3.0,home,30.666666666666664,2.97,0.17,0.0,1.0,away,-2.97
2025-03-22 16:00:00,LET,Chesterfield,Harrogate,0.52,0.24,0.23,1.59,3.75,5.25,away,8.333333333333332,0.99,0.2075,0.0,0.0,draw,-0.99
2025-03-22 16:00:00,LET,Fleetwood,Tranmere,0.61,0.2,0.18,1.95,3.4,3.65,home,41.0,4.43,0.1895,0.0,0.0,draw,-4.43
2025-03-22 16:00:00,LEO,Crawley,Bristol Rovers,0.38,0.26,0.34,2.05,3.4,3.25,away,13.692307692307695,0.82,0.1050000000000001,1.0,0.0,home,-0.82
2025-03-22 16:00:00,LEO,Lincoln,Exeter,0.5,0.25,0.24,1.78,3.4,4.5,away,7.1111111111111125,0.32,0.0799999999999999,0.0,0.0,draw,-0.32
2025-03-22 16:00:00,LEO,Wrexham,Stockport,0.46,0.26,0.27,2.45,3.0,2.9,home,23.959183673469393,1.73,0.1270000000000001,1.0,0.0,home,4.2385
2025-03-23 15:00:00,NAT,Georgië,Armenië,0.68,0.17,0.14,1.52,4.25,6.25,home,46.94736842105264,3.0,0.0336,6.0,1.0,home,4.5600000000000005
2025-03-23 18:00:00,NAT,IJsland,Kosovo,0.51,0.24,0.23,2.51,3.35,2.85,home,31.478087649402394,4.38,0.2800999999999999,1.0,3.0,away,-4.38
2025-03-23 18:00:00,NAT,Slovenie,Slowakije,0.46,0.26,0.26,2.65,2.95,3.0,home,25.62264150943396,4.04,0.2189999999999999,0.0,0.0,home,-4.04
2025-03-23 18:00:00,NAT,Servië,Oostenrijk,0.36,0.26,0.37,2.9,3.25,2.52,home,13.931034482758625,3.05,0.0439999999999999,2.0,0.0,home,8.844999999999999
2025-03-23 18:00:00,NAT,Schotland,Griekenland,0.39,0.26,0.33,2.75,3.2,2.7,home,16.818181818181817,3.21,0.0725,0.0,3.0,away,-3.21
2025-03-23 18:45:00,NAT,Spanje,Nederland,0.62,0.19,0.17,1.71,4.0,5.0,home,39.77777777777778,3.15,0.0601999999999999,2.0,2.0,draw,-3.15
2025-03-23 15:00:00,NAT,Georgië,Armenië,0.68,0.17,0.14,1.52,4.25,6.25,home,46.94736842105264,3.0,0.0336,6.0,1.0,home,4.5
2025-03-23 18:00:00,NAT,IJsland,Kosovo,0.51,0.24,0.23,2.51,3.35,2.85,home,31.478087649402394,4.38,0.2800999999999999,1.0,3.0,away,-4.38
2025-03-23 18:00:00,NAT,Slovenie,Slowakije,0.46,0.26,0.26,2.65,2.95,3.0,home,25.62264150943396,4.04,0.2189999999999999,0.0,0.0,draw,-4.04
2025-03-23 18:00:00,NAT,Servië,Oostenrijk,0.36,0.26,0.37,2.9,3.25,2.52,home,13.931034482758625,3.05,0.0439999999999999,2.0,0.0,home,8.39
2025-03-23 18:00:00,NAT,Schotland,Griekenland,0.39,0.26,0.33,2.75,3.2,2.7,home,16.818181818181817,3.21,0.0725,0.0,3.0,away,-3.21
2025-03-23 20:45:00,NAT,Spanje,Nederland,0.62,0.19,0.17,1.71,4.0,5.0,home,39.77777777777778,3.15,0.0601999999999999,3.0,3.0,draw,-3.15
2025-03-25 20:30:00,LET,Port Vale,Barrow,0.58,0.21,0.2,1.98,3.15,3.85,home,36.78787878787878,3.64,0.1483999999999998,0.0,1.0,away,-3.64
2025-03-27 21:00:00,LEO,Leyton Orient FC,Stevenage,0.51,0.24,0.23,2.2,3.15,3.25,home,28.72727272727273,2.01,0.1220000000000001,1.0,0.0,home,4.422
